 Procedimentos hospitalares do SUS - por local de internação - São Paulo																			
AIH aprovadas por Ano/mês processamento e Forma organização																			
Município: 352440 JACAREI																			
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase																			
Período:2018-2022																			
Ano/mês processamento	030301 Tratamento de doenças infecciosas e parasitárias	030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários	030303 Tratamento de doenças endocrinas, metabólicas e nutricionais	030304 Tratamento de doenças do sistema nervoso central e periférico	030306 Tratamento de doenças cardiovasculares	030307 Tratamento de doenças do aparelho digestivo	030308 Tratamento de doenças da pele e do tecido  subcutâneo	030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo	030310 Tratamento durante a gestação, parto e puerpério	030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas	030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas	030315 Tratamento das doenças do aparelho geniturinário	030316 Tratamento de algumas afecçõess originadas no período neonatal	030317 Tratamento dos transtornos mentais e comportamentais	030318 Tratamento HIV/Aids	030502 Tratamento em nefrologia em geral	040305 Tratamento neurocirúrgico da dor funcional	041301 Tratamento de queimados	Total
2018	418	72	108	646	652	516	91	5	322	6	917	261	448	377	10	211	2	2	5064
..Janeiro/2018	26	12	8	46	56	40	15	-	35	-	52	20	45	22	1	18	-	-	396
..Fevereiro/2018	25	2	13	44	43	40	2	1	20	1	56	20	48	20	-	20	-	-	355
..Março/2018	31	4	10	58	50	47	11	1	27	1	81	24	25	31	-	26	-	-	427
..Abril/2018	30	3	2	49	45	39	3	-	37	-	72	23	60	30	1	22	-	-	416
..Maio/2018	38	7	6	51	52	51	5	-	28	1	107	26	30	25	2	23	1	-	453
..Junho/2018	33	3	9	61	61	46	1	-	31	1	107	21	41	21	2	14	-	-	452
..Julho/2018	36	4	11	59	61	44	9	-	25	-	103	22	37	17	2	9	-	1	440
..Agosto/2018	44	7	3	69	67	38	13	-	33	1	79	17	38	39	-	20	1	-	469
..Setembro/2018	27	12	6	59	66	39	2	1	18	-	56	28	35	33	1	14	-	1	398
..Outubro/2018	43	8	13	59	50	47	9	1	22	-	68	14	26	45	-	11	-	-	416
..Novembro/2018	45	5	8	46	56	40	8	1	21	-	67	27	31	50	1	12	-	-	418
..Dezembro/2018	40	5	19	45	45	45	13	-	25	1	69	19	32	44	-	22	-	-	424
2019	519	78	147	756	563	558	125	3	299	3	668	252	456	484	11	175	-	3	5100
..Janeiro/2019	38	4	7	70	41	47	15	-	26	-	43	16	36	34	1	18	-	-	396
..Fevereiro/2019	38	9	22	56	41	47	13	-	11	1	42	21	26	35	1	12	-	-	375
..Março/2019	48	6	18	50	48	36	9	-	33	-	40	17	31	45	1	11	-	-	393
..Abril/2019	40	5	15	51	53	51	11	1	27	1	46	23	38	40	-	12	-	-	414
..Maio/2019	47	3	16	75	55	55	10	1	25	-	60	26	53	42	-	12	-	-	480
..Junho/2019	58	9	11	52	39	40	9	-	21	-	99	20	40	35	1	17	-	-	451
..Julho/2019	51	9	11	55	38	56	11	-	14	-	61	20	42	41	1	19	-	-	429
..Agosto/2019	40	9	12	73	42	49	10	-	19	-	59	24	35	41	2	14	-	-	429
..Setembro/2019	36	6	5	74	50	42	7	-	20	-	57	25	30	43	-	14	-	-	409
..Outubro/2019	43	5	16	60	56	45	9	1	45	-	58	23	43	55	2	16	-	2	479
..Novembro/2019	33	8	9	70	47	42	14	-	23	-	55	16	40	38	1	15	-	-	411
..Dezembro/2019	47	5	5	70	53	48	7	-	35	1	48	21	42	35	1	15	-	1	434
