 Procedimentos hospitalares do SUS - por local de internação - São Paulo																				
AIH aprovadas por Ano/mês processamento e Forma organização																				
Município: 355410 TAUBATE																				
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase																				
Período:2018-2022																				
Ano/mês processamento	030301 Tratamento de doenças infecciosas e parasitárias	030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários	030303 Tratamento de doenças endocrinas, metabólicas e nutricionais	030304 Tratamento de doenças do sistema nervoso central e periférico	030305 Tratamento de doenças do aparelho da visão	030306 Tratamento de doenças cardiovasculares	030307 Tratamento de doenças do aparelho digestivo	030308 Tratamento de doenças da pele e do tecido  subcutâneo	030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo	030310 Tratamento durante a gestação, parto e puerpério	030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas	030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas	030315 Tratamento das doenças do aparelho geniturinário	030316 Tratamento de algumas afecçõess originadas no período neonatal	030317 Tratamento dos transtornos mentais e comportamentais	030318 Tratamento HIV/Aids	030501 Tratamento dialítico	030502 Tratamento em nefrologia em geral	040305 Tratamento neurocirúrgico da dor funcional	Total
2018	149	176	66	581	2	643	731	116	27	590	22	579	311	240	-	18	43	455	185	4934
..Janeiro/2018	10	13	5	46	-	50	60	6	1	41	-	39	22	29	-	2	2	33	8	367
..Fevereiro/2018	8	12	3	33	2	50	36	8	-	35	-	40	19	15	-	5	4	51	4	325
..Março/2018	12	16	4	51	-	45	48	7	-	50	1	34	18	17	-	3	3	42	16	367
..Abril/2018	10	11	4	63	-	44	61	12	2	38	2	47	26	18	-	2	2	32	19	393
..Maio/2018	22	18	12	48	-	65	63	4	1	53	2	49	21	26	-	1	6	49	32	472
..Junho/2018	10	12	2	45	-	60	61	10	4	63	3	53	26	28	-	-	2	28	15	422
..Julho/2018	14	19	3	48	-	49	60	10	5	45	2	56	29	20	-	2	3	40	20	425
..Agosto/2018	19	16	4	58	-	62	62	11	7	55	4	58	32	8	-	-	6	37	19	458
..Setembro/2018	4	15	10	47	-	60	69	14	2	51	2	56	31	19	-	1	5	33	18	437
..Outubro/2018	15	17	5	51	-	53	81	14	1	48	2	50	20	22	-	2	1	38	14	434
..Novembro/2018	13	12	8	33	-	56	60	10	3	59	4	58	37	18	-	-	5	33	11	420
..Dezembro/2018	12	15	6	58	-	49	70	10	1	52	-	39	30	20	-	-	4	39	9	414
2019	172	178	74	639	9	616	906	131	33	676	21	694	356	244	125	15	24	423	57	5393
..Janeiro/2019	7	14	9	59	-	45	79	7	4	60	2	38	20	29	1	-	5	32	8	419
..Fevereiro/2019	14	19	7	56	1	53	66	13	2	48	4	33	28	19	-	3	1	33	19	419
..Março/2019	5	16	6	58	-	39	73	11	4	47	-	33	24	23	-	1	-	36	6	382
..Abril/2019	14	24	1	62	-	57	78	10	6	57	2	51	22	37	1	3	2	29	-	456
..Maio/2019	16	20	8	54	1	43	77	13	3	77	1	64	25	19	13	1	1	43	4	483
..Junho/2019	16	11	7	31	2	61	77	9	3	50	2	64	26	15	17	-	5	44	6	446
..Julho/2019	19	14	3	39	1	49	79	9	2	69	1	79	27	15	15	-	3	23	3	450
..Agosto/2019	16	12	5	57	1	62	88	11	2	50	1	70	26	17	19	3	1	35	2	478
..Setembro/2019	25	9	11	50	1	44	74	11	1	48	3	70	47	19	15	1	-	34	3	466
..Outubro/2019	14	10	5	65	2	61	74	11	1	65	1	64	33	17	16	-	3	52	3	497
..Novembro/2019	13	15	6	57	-	50	80	6	5	46	1	64	46	16	16	1	1	34	3	460
